         |    0,1   |    0,2   |    0,3   |    0,4   |    0,5   |    0,6   |    0,7   |    0,8   |    0,9   |    1,0   
15 x 100 |  1  2 61 |  2 14 48 |  2 29 33 |  1 42 21 |  0 42 22 |  1 41 22 |  0 50 14 |  1 53 10 |  0 52 12 |  0 53 11 
20 x  10 | 49 12  3 | 34 20 10 | 27 25 12 | 16 31 17 | 20 28 16 | 15 40  9 | 15 36 13 |  8 44 12 | 14 39 11 | 10 47  7 
20 x  20 | 20 18 26 |  7 11 46 |  9 15 40 |  4 29 31 |  4 34 26 |  2 41 21 |  1 37 26 |  1 40 23 |  1 43 20 |  1 43 20 
20 x  30 | 10 17 37 |  2  5 57 |  6 16 42 |  9 24 31 |  1 41 22 |  4 39 21 |  0 43 21 |  2 46 16 |  0 50 14 |  1 52 11 
20 x  40 | 10  7 47 |  3  4 57 |  2 13 49 |  1 24 39 |  1 24 39 |  3 34 27 |  1 44 19 |  1 46 17 |  1 47 16 |  0 53 11 
20 x  50 |  5  3 56 |  6  3 55 |  1 11 52 |  2 26 36 |  1 29 34 |  2 35 27 |  0 36 28 |  2 50 12 |  0 45 19 |  2 45 17 
20 x  60 |  7  5 52 |  3  4 57 |  2 16 46 |  0 29 35 |  1 39 24 |  0 39 25 |  0 41 23 |  0 42 22 |  3 45 16 |  0 51 13 
20 x  70 |  4  2 58 |  1  2 61 |  2 14 48 |  0 36 28 |  1 36 27 |  1 39 24 |  0 45 19 |  1 45 18 |  0 49 15 |  0 53 11 
20 x  80 |  1  1 62 |  2  3 59 |  1 26 37 |  1 29 34 |  1 35 28 |  1 46 17 |  0 43 21 |  1 50 13 |  0 47 17 |  1 55  8 
20 x  90 |  5  1 58 |  4  8 52 |  2 16 46 |  0 36 28 |  0 38 26 |  0 43 21 |  0 46 18 |  1 47 16 |  0 48 16 |  0 51 13 
20 x 100 |  1  1 62 |  4  4 56 |  0 23 41 |  0 34 30 |  1 42 21 |  3 39 22 |  0 46 18 |  1 45 18 |  1 52 11 |  0 52 12 
25 x  10 | 52 10  2 | 40 13 11 | 28 25 11 | 17 31 16 | 19 30 15 | 18 41  5 | 11 43 10 | 13 43  8 |  9 45 10 | 11 42 11 
25 x  20 | 19 20 25 | 14 16 34 |  7 12 45 |  3 21 40 |  4 27 33 |  3 32 29 |  1 41 22 |  3 36 25 |  1 43 20 |  0 51 13 
25 x  30 | 11  8 45 |  1  7 56 |  1 15 48 |  2 15 47 |  3 27 34 |  1 34 29 |  2 37 25 |  1 39 24 |  2 47 15 |  0 45 19 
25 x  40 |  5  5 54 |  8  4 52 |  2  9 53 |  3 21 40 |  1 29 34 |  1 33 30 |  2 38 24 |  3 41 20 |  2 41 21 |  0 47 17 
25 x  50 | 10  5 49 |  3  1 60 |  2  4 58 |  4 24 36 |  1 28 35 |  0 35 29 |  0 40 24 |  2 35 27 |  0 52 12 |  1 52 11 
25 x  60 |  3  3 58 |  1  2 61 |  2  8 54 |  0 23 41 |  0 32 32 |  1 33 30 |  2 36 26 |  1 42 21 |  0 45 19 |  0 49 15 
25 x  70 |  6  4 54 |  4  2 58 |  0 11 53 |  2 25 37 |  0 35 29 |  0 36 28 |  3 39 22 |  1 41 22 |  0 49 15 |  1 48 15 
25 x  80 |  2  4 58 |  1  2 61 |  2 10 52 |  2 20 42 |  1 30 33 |  2 40 22 |  0 43 21 |  1 46 17 |  1 41 22 |  0 48 16 
25 x  90 |  4  3 57 |  3  2 59 |  1 11 52 |  0 24 40 |  1 32 31 |  0 37 27 |  0 43 21 |  0 47 17 |  0 42 22 |  0 50 14 
25 x 100 |  5  2 57 |  0  2 62 |  0 16 48 |  0 23 41 |  0 34 30 |  1 41 22 |  0 40 24 |  0 46 18 |  1 48 15 |  0 43 21 
