         |    0,1   |    0,2   |    0,3   |    0,4   |    0,5   |    0,6   |    0,7   |    0,8   |    0,9   |    1,0   
20 x  40 |  7  9 48 |  1  4 59 |  5  3 56 |  1  2 61 |  2  1 61 |  3  4 57 |  2  6 56 |  0  8 56 |  1 12 51 |  4  6 54 
20 x  50 |  7  9 48 |  1  7 56 |  1  4 59 |  3  1 60 |  1  3 60 |  0  1 63 |  0  3 61 |  2  4 58 |  1  2 61 |  3  4 57 
20 x  60 |  8  4 52 |  1  3 60 |  0  0 64 |  3  1 60 |  2  1 61 |  0  1 63 |  0  0 64 |  1  4 59 |  0  0 64 |  3  2 59 
20 x  70 |  5  4 55 |  3  0 61 |  2  0 62 |  2  0 62 |  2  0 62 |  1  1 62 |  2  0 62 |  1  2 61 |  0  0 64 |  1  2 61 
20 x  80 |  3  1 60 |  3  1 60 |  2  1 61 |  2  1 61 |  1  0 63 |  0  1 63 |  1  0 63 |  1  1 62 |  0  1 63 |  2  2 60 
20 x  90 |  4  1 59 |  2  1 61 |  1  1 62 |  0  0 64 |  2  0 62 |  0  0 64 |  2  1 61 |  0  0 64 |  3  0 61 |  2  1 61 
20 x 100 |  3  4 57 |  2  0 62 |  0  1 63 |  0  1 63 |  1  0 63 |  0  0 64 |  0  0 64 |  0  1 63 |  0  0 64 |  0  2 62 
25 x  10 | 50 13  1 | 42 14  8 | 33 19 12 | 25 17 22 | 20 18 26 | 23 22 19 | 14 24 26 | 20 26 18 | 17 30 17 | 14 36 14 
25 x  20 | 17 21 26 |  6 20 38 |  5  9 50 |  6  7 51 |  3  7 54 |  5  9 50 |  2 14 48 |  5 13 46 |  4  7 53 |  7 22 35 
25 x  30 |  8 18 38 |  5  9 50 |  5  6 53 |  2  1 61 |  4  4 56 |  3  5 56 |  3  6 55 |  1  8 55 |  7  9 48 |  6  5 53 
25 x  40 |  7  6 51 |  9  4 51 |  1  7 56 |  1  1 62 |  2  4 58 |  0  0 64 |  2  1 61 |  0  9 55 |  5  6 53 |  3  2 59 
25 x  50 |  7  7 50 |  3  3 58 |  2  3 59 |  1  1 62 |  1  1 62 |  1  1 62 |  1  0 63 |  0  3 61 |  5  1 58 |  2  5 57 
25 x  60 |  6  5 53 |  3  1 60 |  2  0 62 |  1  2 61 |  1  1 62 |  2  3 59 |  1  0 63 |  0  0 64 |  2  1 61 |  2  1 61 
25 x  70 |  5  1 58 |  2  1 61 |  2  2 60 |  2  0 62 |  3  1 60 |  1  2 61 |  0  1 63 |  1  1 62 |  1  1 62 |  2  1 61 
25 x  80 |  5  5 54 |  1  1 62 |  0  1 63 |  0  0 64 |  1  0 63 |  1  0 63 |  1  0 63 |  0  1 63 |  0  0 64 |  2  0 62 
25 x  90 |  4  2 58 |  1  1 62 |  0  0 64 |  0  0 64 |  0  1 63 |  1  0 63 |  0  0 64 |  0  0 64 |  1  0 63 |  1  0 63 
25 x 100 |  3  0 61 |  0  1 63 |  1  0 63 |  0  0 64 |  0  0 64 |  1  0 63 |  0  0 64 |  0  0 64 |  0  0 64 |  1  0 63 
