         |    0,1   |    0,2   |    0,3   |    0,4   |    0,5   |    0,6   |    0,7   |    0,8   |    0,9   |    1,0   
10 x  40 | 12  2 50 |  4  3 57 |  2 17 45 |  0 36 28 |  1 27 36 |  1 44 19 |  3 41 20 |  0 52 12 |  1 48 15 |  0 47 17 
10 x  50 |  7  0 57 |  3  6 55 |  1 23 40 |  2 34 28 |  2 38 24 |  3 45 16 |  1 52 11 |  0 49 15 |  2 48 14 |  2 52 10 
10 x  60 |  2  1 61 |  4  2 58 |  1 28 35 |  0 42 22 |  0 40 24 |  0 44 20 |  0 49 15 |  0 49 15 |  1 46 17 |  0 51 13 
10 x  70 |  5  2 57 |  3  6 55 |  0 23 41 |  0 29 35 |  1 39 24 |  3 43 18 |  0 43 21 |  0 52 12 |  1 54  9 |  0 54 10 
10 x  80 |  2  2 60 |  3 13 48 |  1 29 34 |  1 30 33 |  0 35 29 |  1 43 20 |  1 48 15 |  0 48 16 |  0 49 15 |  0 50 14 
10 x  90 |  5  2 57 |  0 14 50 |  1 27 36 |  2 33 29 |  1 40 23 |  0 49 15 |  1 46 17 |  1 46 17 |  1 49 14 |  0 48 16 
10 x 100 |  2  1 61 |  2 10 52 |  0 28 36 |  2 32 30 |  1 34 29 |  0 46 18 |  0 46 18 |  1 52 11 |  1 49 14 |  0 57  7 
15 x  10 | 45 15  4 | 37 17 10 | 18 23 23 | 22 27 15 |  9 31 24 | 14 34 16 |  9 42 13 | 14 37 13 |  9 44 11 |  6 48 10 
15 x  20 | 12 23 29 |  7  7 50 |  6  9 49 |  2 20 42 |  3 24 37 |  4 25 35 |  3 33 28 |  3 31 30 |  0 43 21 |  0 37 27 
15 x  30 |  7 11 46 |  3  2 59 |  2  6 56 |  4  9 51 |  2 23 39 |  0 27 37 |  0 35 29 |  0 35 29 |  0 34 30 |  1 48 15 
15 x  40 | 12  6 46 |  5  2 57 |  2  2 60 |  3 11 50 |  1 20 43 |  0 33 31 |  2 33 29 |  2 42 20 |  1 40 23 |  0 40 24 
15 x  50 |  3  5 56 |  2  4 58 |  2  1 61 |  1 16 47 |  3 22 39 |  0 30 34 |  1 33 30 |  1 37 26 |  1 43 20 |  2 37 25 
15 x  60 |  7  3 54 |  1  0 63 |  1  2 61 |  1  9 54 |  2 27 35 |  2 27 35 |  1 26 37 |  0 32 32 |  1 43 20 |  0 39 25 
15 x  70 |  4  3 57 |  2  3 59 |  3  4 57 |  1 16 47 |  1 24 39 |  1 32 31 |  0 31 33 |  3 33 28 |  1 49 14 |  2 39 23 
15 x  80 |  5  1 58 |  2  0 62 |  2  4 58 |  0 12 52 |  1 25 38 |  0 27 37 |  1 28 35 |  0 37 27 |  0 45 19 |  0 50 14 
15 x  90 |  3  0 61 |  4  0 60 |  0  4 60 |  2 19 43 |  1 30 33 |  0 32 32 |  1 35 28 |  0 38 26 |  2 42 20 |  1 39 24 
15 x 100 |  2  1 61 |  0  0 64 |  3  6 55 |  0 15 49 |  2 16 46 |  0 31 33 |  0 45 19 |  1 41 22 |  0 49 15 |  1 47 16 
20 x  10 | 47 15  2 | 34 19 11 | 30 20 14 | 32 14 18 | 19 24 21 | 15 36 13 | 18 31 15 | 17 35 12 | 13 41 10 | 15 39 10 
20 x  20 | 19 20 25 | 11  6 47 |  8  9 47 |  5 20 39 |  1 16 47 |  3 25 36 |  2 34 28 |  3 30 31 |  2 31 31 |  3 37 24 
20 x  30 | 15  8 41 |  7  7 50 |  4  4 56 |  2  5 57 |  1 11 52 |  1 23 40 |  1 33 30 |  2 31 31 |  3 36 25 |  2 32 30 
20 x  40 | 11  6 47 |  1  2 61 |  4  3 57 |  4  4 56 |  3  7 54 |  0 22 42 |  1 33 30 |  1 30 33 |  0 31 33 |  2 43 19 
20 x  50 |  6  3 55 |  2  0 62 |  4  0 60 |  1  4 59 |  1 16 47 |  4 20 40 |  0 23 41 |  0 40 24 |  3 28 33 |  0 45 19 
20 x  60 |  5  1 58 |  2  2 60 |  3  0 61 |  3  5 56 |  1 16 47 |  1 30 33 |  2 26 36 |  0 37 27 |  1 43 20 |  0 40 24 
20 x  70 |  8  0 56 |  1  1 62 |  2  2 60 |  0  6 58 |  1 15 48 |  0 23 41 |  0 39 25 |  0 41 23 |  0 40 24 |  0 40 24 
20 x  80 |  2  5 57 |  2  0 62 |  0  3 61 |  0  8 56 |  2 19 43 |  1 22 41 |  0 36 28 |  0 40 24 |  0 33 31 |  1 43 20 
20 x  90 |  5  1 58 |  2  0 62 |  1  2 61 |  0  9 55 |  0 20 44 |  2 16 46 |  1 38 25 |  2 35 27 |  0 47 17 |  0 40 24 
20 x 100 |  1  1 62 |  1  1 62 |  0  0 64 |  2 13 49 |  1 21 42 |  1 34 29 |  1 30 33 |  0 37 27 |  1 40 23 |  0 35 29 
25 x  10 | 52  9  3 | 38 18  8 | 38 15 11 | 26 21 17 | 23 23 18 | 19 31 14 |  8 45 11 | 17 39  8 | 11 41 12 | 13 37 14 
25 x  20 | 11 29 24 | 13  5 46 |  5  5 54 |  3  7 54 |  4 17 43 |  7 20 37 |  3 20 41 |  5 22 37 |  3 29 32 |  2 36 26 
25 x  30 |  8 13 43 |  1  9 54 |  3  5 56 |  1  4 59 |  4  4 56 |  1 15 48 |  1 17 46 |  2 28 34 |  1 34 29 |  1 35 28 
25 x  40 |  8 10 46 |  4  5 55 |  2  2 60 |  2  3 59 |  1  6 57 |  2 18 44 |  3 10 51 |  0 23 41 |  1 31 32 |  1 30 33 
25 x  50 |  3  9 52 |  4  1 59 |  1  2 61 |  0  0 64 |  1  3 60 |  0 15 49 |  0 23 41 |  1 29 34 |  2 33 29 |  1 39 24 
25 x  60 |  4  5 55 |  3  4 57 |  1  0 63 |  1  1 62 |  1  6 57 |  1 17 46 |  1 28 35 |  1 31 32 |  1 34 29 |  1 27 36 
25 x  70 |  6  4 54 |  1  3 60 |  2  3 59 |  2  0 62 |  0  7 57 |  1 14 49 |  0 25 39 |  1 30 33 |  0 23 41 |  1 38 25 
25 x  80 |  2  2 60 |  0  1 63 |  1  0 63 |  0  1 63 |  1 13 50 |  1 18 45 |  1 27 36 |  0 38 26 |  0 34 30 |  1 37 26 
25 x  90 |  3  2 59 |  2  2 60 |  1  0 63 |  0  3 61 |  1  9 54 |  0 17 47 |  0 27 37 |  0 29 35 |  0 32 32 |  0 42 22 
25 x 100 |  4  4 56 |  1  0 63 |  0  0 64 |  0  0 64 |  0 15 49 |  0 23 41 |  1 28 35 |  1 26 37 |  1 30 33 |  0 38 26 
