         |    0,1   |    0,2   |    0,3   |    0,4   |    0,5   |    0,6   |    0,7   |    0,8   |    0,9   |    1,0   
15 x  20 | 13 12 39 |  8 15 41 |  6  9 49 |  6  6 52 |  6 16 42 |  5 13 46 |  6 20 38 |  4 21 39 |  4 32 28 |  2 41 21 
15 x  30 | 10  5 49 |  4  3 57 |  3  3 58 |  2  5 57 |  1  6 57 |  9 12 43 |  6 14 44 |  4 23 37 |  1 26 37 |  2 27 35 
15 x  40 |  8  7 49 |  2  4 58 |  2  2 60 |  1  2 61 |  5  5 54 |  6  5 53 |  3 10 51 |  2 20 42 |  1 30 33 |  1 26 37 
15 x  50 | 12  5 47 |  4  0 60 |  2  3 59 |  4  1 59 |  1  1 62 |  7  6 51 |  4  8 52 |  4 13 47 |  3 22 39 |  4 32 28 
15 x  60 |  3  3 58 |  1  2 61 |  2  0 62 |  2  0 62 |  3  2 59 |  1  4 59 |  7  8 49 |  6 15 43 |  5 18 41 |  4 18 42 
15 x  70 |  3  1 60 |  2  0 62 |  1  0 63 |  2  0 62 |  4  3 57 |  4  2 58 |  3  7 54 |  3 10 51 |  0 17 47 |  1 31 32 
15 x  80 |  3  1 60 |  3  1 60 |  0  0 64 |  0  1 63 |  2  1 61 |  5  4 55 |  4  8 52 |  5 16 43 |  3 22 39 |  1 33 30 
15 x  90 |  8  3 53 |  3  0 61 |  1  0 63 |  2  1 61 |  2  0 62 |  5  0 59 |  3 11 50 |  4 20 40 |  7 16 41 |  6 26 32 
15 x 100 |  4  2 58 |  1  1 62 |  1  0 63 |  1  0 63 |  1  1 62 |  3  3 58 |  5  2 57 |  4 11 49 |  2 17 45 |  4 24 36 
20 x  10 | 49 14  1 | 38 18  8 | 21 28 15 | 26 21 17 | 20 28 16 | 17 25 22 | 18 29 17 | 15 36 13 | 12 34 18 | 17 40  7 
20 x  20 | 13 26 25 |  9 14 41 |  4  6 54 |  7 10 47 |  5  9 50 |  8 12 44 |  6 12 46 |  6 22 36 |  5 30 29 |  7 32 25 
20 x  30 |  6 14 44 |  3  5 56 |  8  3 53 |  3  7 54 |  5  3 56 |  7  5 52 |  8  8 48 |  6 13 45 |  4 19 41 |  3 20 41 
20 x  40 |  7  4 53 |  4  3 57 |  1  1 62 |  2  2 60 |  1  3 60 |  2  8 54 | 10  7 47 |  9 13 42 |  6 13 45 |  8 25 31 
20 x  50 |  8  4 52 |  3  1 60 |  2  2 60 |  3  0 61 |  1  0 63 |  4  1 59 |  4  6 54 |  4 12 48 |  5 16 43 |  5 19 40 
20 x  60 |  3  3 58 |  3  1 60 |  3  0 61 |  3  0 61 |  0  0 64 |  0  1 63 |  5  4 55 |  7 10 47 |  7 12 45 |  3 24 37 
20 x  70 |  7  1 56 |  3  0 61 |  1  2 61 |  1  0 63 |  1  0 63 |  1  1 62 |  6  3 55 |  4 10 50 |  7 18 39 |  2 21 41 
20 x  80 |  2  4 58 |  0  1 63 |  1  0 63 |  3  0 61 |  3  1 60 |  1  0 63 |  8  1 55 |  1  7 56 |  3 18 43 |  7 11 46 
20 x  90 |  1  2 61 |  1  0 63 |  1  0 63 |  0  0 64 |  2  0 62 |  0  0 64 |  3  2 59 |  5 10 49 |  7 12 45 |  5 23 36 
20 x 100 |  2  2 60 |  2  0 62 |  3  1 60 |  0  0 64 |  0  0 64 |  6  0 58 |  5  2 57 |  6  7 51 |  6 13 45 |  4 22 38 
25 x  10 | 51 12  1 | 43 16  5 | 35 20  9 | 20 21 23 | 18 25 21 | 18 14 32 | 20 22 22 | 12 35 17 | 12 32 20 | 19 34 11 
25 x  20 | 18 18 28 | 11 10 43 | 10  5 49 |  9  6 49 |  9  3 52 |  4  9 51 | 12 11 41 |  5 13 46 |  4 22 38 |  7 22 35 
25 x  30 | 11 15 38 |  3  1 60 |  6  2 56 |  1  4 59 |  3  1 60 |  1  5 58 |  4  8 52 |  8 14 42 |  8 16 40 | 10 17 37 
25 x  40 | 11 11 42 |  3  2 59 |  3  0 61 |  2  1 61 |  1  0 63 |  5  3 56 |  7  1 56 |  7  3 54 |  5 13 46 |  7 14 43 
25 x  50 |  4  4 56 |  3  4 57 |  1  3 60 |  1  1 62 |  3  1 60 |  3  1 60 |  2  5 57 |  5  1 58 |  8  7 49 |  3 18 43 
25 x  60 |  5  3 56 |  2  1 61 |  4  1 59 |  2  1 61 |  1  1 62 |  4  1 59 |  3  2 59 |  9  5 50 |  4 11 49 |  9 11 44 
25 x  70 |  4  2 58 |  1  1 62 |  3  0 61 |  0  0 64 |  3  0 61 |  1  0 63 |  1  0 63 |  6  5 53 |  6  9 49 |  4 12 48 
25 x  80 |  2  1 61 |  1  2 61 |  0  0 64 |  1  1 62 |  0  0 64 |  3  0 61 |  3  0 61 |  4  0 60 |  5  6 53 |  7 15 42 
25 x  90 |  3  3 58 |  3  4 57 |  0  0 64 |  1  1 62 |  3  0 61 |  1  2 61 |  1  0 63 |  7  0 57 |  6 10 48 |  3 13 48 
25 x 100 |  5  2 57 |  0  1 63 |  2  0 62 |  0  1 63 |  0  0 64 |  2  1 61 |  5  0 59 |  8  0 56 |  2  8 54 |  6  8 50 
