         |    0,1   |    0,4   |     0,7  |     1,0  |     1,3  |     1,6  |     1,9     
20 x  90 | 19  0 45 |  4  0 60 |  5  0 59 |  1  0 63 |  0  1 63 |  0  1 63 |  0  0 64 
20 x 100 | 20  0 44 |  2  0 62 |  1  0 63 |  3  1 60 |  1  0 63 |  1  0 63 |  1  0 63 
25 x  10 | 52  9  3 | 19 31 14 | 23 30 11 | 12 46  6 | 10 47  7 |  7 50  7 |  3 51 10 
25 x  20 | 42  0 22 | 22 19 23 | 17 26 21 |  8 41 15 |  9 38 17 | 10 37 17 |  4 39 21 
25 x  30 | 36  0 28 | 21  6 37 | 12 20 32 | 12 28 24 |  5 33 26 |  4 25 35 |  1 25 38 
25 x  40 | 30  0 34 | 10  0 54 |  9 12 43 |  6 13 45 |  4 10 50 |  7  7 50 |  7  9 48 
25 x  50 | 30  0 34 | 11  0 53 |  8  3 53 |  7  9 48 |  8  7 49 |  3  3 58 |  2  5 57 
25 x  60 | 25  0 39 | 12  0 52 |  2  1 61 |  2  9 53 |  4  0 60 |  1  0 63 |  2  0 62 
25 x  70 | 16  0 48 |  6  0 58 |  7  2 55 |  4  2 58 |  4  1 59 |  1  0 63 |  2  0 62 
25 x  80 | 16  0 48 | 10  0 54 |  2  0 62 |  2  0 62 |  4  0 60 |  2  0 62 |  0  0 64 
25 x  90 | 22  0 42 |  4  0 60 |  2  0 62 |  1  0 63 |  3  0 61 |  3  0 61 |  1  0 63 
25 x 100 | 17  0 47 |  7  0 57 |  1  0 63 |  2  0 62 |  1  0 63 |  1  0 63 |  0  0 64 
