         |     0,1     |     0,4     |     0,7     |     1,0     |     1,3     |     1,6     |     1,9     
10 x  80 | 25  0 74  0 |  6  3 90  0 |  3 15 81  0 |  4 26 68  1 |  1 25 73  0 |  1 27 71  0 |  1 22 76  0 
10 x  90 | 23  0 76  0 |  4  0 95  0 |  3 10 86  0 |  2 18 78  1 |  3 21 75  0 |  0 29 70  0 |  0 12 87  0 
10 x 100 | 18  0 81  0 |  8  1 90  0 |  4  8 87  0 |  1 17 81  0 |  0 22 77  0 |  3 15 81  0 |  3 19 77  0 
15 x  10 | 79 12  8  0 | 36 42 18  3 | 27 52 15  5 | 11 66 16  6 | 16 68 11  4 |  7 68 21  3 | 17 67 14  1 
15 x  20 | 68  3 28  0 | 27 23 43  6 | 17 46 32  4 | 16 60 21  2 | 13 65 16  5 | 11 54 32  2 |  5 58 33  3 
15 x  30 | 51  1 47  0 | 28 10 57  4 | 14 40 44  1 |  9 53 35  2 |  8 47 43  1 |  7 48 44  0 |  8 42 49  0 
15 x  40 | 38  1 60  0 | 20 10 67  2 | 13 23 61  2 | 13 32 51  3 |  6 32 58  3 |  6 33 58  2 |  4 30 63  2 
15 x  50 | 44  0 55  0 | 16  1 80  2 | 20 20 57  2 |  8 19 72  0 |  7 17 75  0 |  3 27 68  1 |  3 25 71  0 
15 x  60 | 37  0 62  0 | 14  2 83  0 | 10 21 68  0 |  6 15 78  0 |  5 16 77  1 |  4 12 83  0 |  5  9 84  1 
15 x  70 | 37  0 62  0 | 14  0 85  0 |  4  6 89  0 |  3 11 85  0 |  1  7 91  0 |  4  5 90  0 |  0  6 93  0 
15 x  80 | 17  0 82  0 |  9  0 90  0 |  7  6 84  2 |  2  5 92  0 |  2  5 92  0 |  4  5 90  0 |  1  3 95  0 
15 x  90 | 37  0 62  0 |  7  0 92  0 |  4  5 90  0 |  0  3 96  0 |  2  2 95  0 |  2  5 92  0 |  1  3 95  0 
15 x 100 | 20  0 79  0 |  6  0 93  0 |  1  1 97  0 |  3  3 93  0 |  2  3 94  0 |  0  2 97  0 |  0  0 99  0 
20 x  10 | 88  7  3  1 | 34 38 23  4 | 22 52 19  6 |  7 69 15  8 | 11 69 12  7 |  8 81  9  1 |  9 75  9  6 
20 x  20 | 77  1 21  0 | 30 24 38  7 | 22 43 31  3 | 14 59 19  7 | 10 52 34  3 | 10 55 32  2 |  3 54 41  1 
20 x  30 | 57  2 40  0 | 26  6 59  8 | 14 38 42  5 | 11 50 35  3 |  5 50 42  2 |  5 42 50  2 |  6 37 56  0 
20 x  40 | 44  0 55  0 | 20  2 73  4 | 13 19 65  2 |  6 28 63  2 |  6 22 71  0 |  4 23 71  1 |  4 29 63  3 
20 x  50 | 42  0 57  0 | 16  1 79  3 | 13 13 72  1 |  6  9 82  2 |  6 14 78  1 |  6 17 76  0 |  0 16 83  0 
20 x  60 | 35  0 64  0 | 20  0 76  3 |  5  6 86  2 |  2 11 86  0 |  6 12 80  1 |  4  8 87  0 |  1  9 88  1 
20 x  70 | 41  0 58  0 | 11  0 88  0 |  7  8 83  1 |  2  6 90  1 |  1  4 93  1 |  2  3 94  0 |  6  6 87  0 
20 x  80 | 33  0 66  0 |  9  0 90  0 |  8  1 89  1 |  6  4 88  1 |  3  4 92  0 |  3  5 91  0 |  5  1 93  0 
20 x  90 | 27  0 72  0 |  5  0 94  0 |  8  2 89  0 |  5  2 91  1 |  4  0 95  0 |  0  1 98  0 |  2  1 95  1 
20 x 100 | 30  0 69  0 | 10  0 89  0 |  4  2 93  0 |  4  3 92  0 |  3  1 95  0 |  2  1 96  0 |  1  1 97  0 
25 x  10 | 85  5  9  0 | 35 41 16  7 | 22 62 11  4 | 13 70 10  6 | 14 68 13  4 | 12 75 11  1 | 11 77  9  2 
25 x  20 | 63  0 35  1 | 31 19 40  9 | 30 40 25  4 | 15 59 23  2 | 16 50 30  3 | 10 49 37  3 |  6 49 40  4 
25 x  30 | 62  1 36  0 | 28  8 59  4 | 19 32 41  7 | 12 48 32  7 |  8 34 52  5 |  6 39 50  4 |  7 37 55  0 
25 x  40 | 45  0 54  0 | 23  2 71  3 | 12 18 67  2 | 11 20 66  2 | 10 21 66  2 |  9 21 69  0 |  6 14 78  1 
25 x  50 | 48  0 51  0 | 19  0 80  0 | 10 11 76  2 | 13 10 73  3 |  7 12 79  1 |  4 10 82  3 |  7  8 83  1 
25 x  60 | 38  0 61  0 | 17  1 78  3 |  8  2 87  2 |  9  3 86  1 |  3  5 91  0 |  4  3 91  1 |  6  3 88  2 
25 x  70 | 42  0 57  0 | 14  0 85  0 |  6  1 91  1 |  5  3 91  0 |  3  0 95  1 |  5  0 94  0 |  3  0 96  0 
25 x  80 | 27  0 72  0 |  7  0 92  0 | 10  2 87  0 |  5  0 94  0 |  4  1 94  0 |  3  0 96  0 |  3  1 95  0 
25 x  90 | 26  0 73  0 |  7  0 92  0 |  7  0 92  0 |  4  0 95  0 |  3  1 95  0 |  2  0 97  0 |  2  0 97  0 
25 x 100 | 27  0 72  0 |  7  0 92  0 |  5  0 94  0 |  4  0 95  0 |  2  0 97  0 |  0  0 99  0 |  2  0 97  0 
