         |     0,1     |     0,4     |     0,7     |     1,0     |     1,3     |     1,6     |     1,9     
15 x  30 | 33 22 44  0 | 15 71 13  0 |  3 86 10  0 |  6 91  2  0 |  3 87  9  0 |  2 86 11  0 |  5 80 14  0 
15 x  40 | 25 25 49  0 |  5 77 17  0 |  4 90  5  0 |  3 94  2  0 |  1 93  5  0 |  4 89  6  0 |  0 87 12  0 
15 x  50 | 20 34 45  0 |  5 83 11  0 |  3 95  1  0 |  2 95  2  0 |  1 93  5  0 |  1 87 11  0 |  0 81 18  0 
15 x  60 | 23 41 35  0 |  5 83 11  0 |  2 84 13  0 |  0 96  3  0 |  3 89  7  0 |  1 90  8  0 |  0 82 17  0 
15 x  70 | 19 38 42  0 |  4 87  8  0 |  4 85 10  0 |  4 91  4  0 |  0 98  1  0 |  2 88  9  0 |  0 84 15  0 
15 x  80 | 10 52 37  0 |  4 79 16  0 |  3 89  7  0 |  3 92  4  0 |  0 96  3  0 |  1 95  3  0 |  1 85 13  0 
15 x  90 | 12 50 37  0 |  3 91  5  0 |  0 94  5  0 |  1 96  2  0 |  2 95  2  0 |  2 90  7  0 |  0 89 10  0 
15 x 100 | 12 50 37  0 |  2 90  7  0 |  1 96  2  0 |  1 95  3  0 |  1 97  1  0 |  0 96  3  0 |  1 90  8  0 
20 x  10 | 76 17  6  0 | 23 71  5  0 | 13 82  4  0 | 15 80  4  0 |  7 87  5  0 |  3 93  3  0 |  8 85  5  1 
20 x  20 | 50  6 43  0 | 21 68 10  0 |  7 82  9  1 |  6 86  6  1 |  3 88  8  0 |  5 81 13  0 |  4 78 17  0 
20 x  30 | 40 10 49  0 | 14 66 19  0 |  3 83 13  0 |  4 86  9  0 |  5 88  6  0 |  2 78 18  1 |  2 71 26  0 
20 x  40 | 28 16 55  0 |  7 75 17  0 |  4 86  9  0 |  4 90  5  0 |  4 87  8  0 |  2 83 14  0 |  4 77 18  0 
20 x  50 | 18 21 60  0 |  3 76 20  0 |  4 83 12  0 |  6 88  5  0 |  0 87 12  0 |  5 81 13  0 |  0 80 19  0 
20 x  60 | 28 17 54  0 |  2 78 19  0 |  2 92  5  0 |  2 88  9  0 |  3 82 14  0 |  2 84 13  0 |  0 71 28  0 
20 x  70 | 23 28 48  0 |  7 82 10  0 |  2 88  9  0 |  2 88  9  0 |  0 95  4  0 |  2 86 11  0 |  0 65 34  0 
20 x  80 | 19 24 56  0 |  4 82 13  0 |  3 93  3  0 |  2 91  6  0 |  1 94  4  0 |  1 86 12  0 |  0 77 22  0 
20 x  90 | 12 28 59  0 |  4 83 12  0 |  1 91  7  0 |  1 94  4  0 |  2 93  4  0 |  2 85 12  0 |  1 79 19  0 
20 x 100 | 10 33 56  0 |  5 79 15  0 |  0 91  8  0 |  2 88  9  0 |  1 94  4  0 |  1 90  8  0 |  0 83 16  0 
25 x  10 | 79 17  0  3 | 15 78  5  1 | 13 81  5  0 | 15 77  5  2 |  6 86  7  0 |  6 93  0  0 |  3 94  2  0 
25 x  20 | 61  7 31  0 | 13 63 21  2 |  8 85  6  0 |  5 86  8  0 | 11 82  6  0 |  5 79 15  0 |  3 71 25  0 
25 x  30 | 40  2 57  0 | 13 66 20  0 |  5 84  9  1 |  8 84  7  0 |  6 76 17  0 |  5 66 28  0 |  5 62 32  0 
25 x  40 | 33  3 63  0 | 14 69 16  0 |  6 85  8  0 |  8 86  5  0 |  2 85 12  0 |  3 67 29  0 |  2 58 39  0 
25 x  50 | 37  4 58  0 | 11 69 19  0 |  8 82  9  0 |  5 87  7  0 |  6 78 15  0 |  3 76 20  0 |  0 51 48  0 
25 x  60 | 34  3 62  0 | 11 68 19  1 |  5 84 10  0 |  2 91  6  0 |  2 76 20  1 |  4 64 31  0 |  2 61 36  0 
25 x  70 | 35  5 59  0 |  7 73 19  0 |  3 86 10  0 |  4 85 10  0 |  3 87  9  0 |  0 66 33  0 |  4 57 38  0 
25 x  80 | 19  3 77  0 |  7 72 20  0 |  3 89  7  0 |  3 92  4  0 |  2 83 14  0 |  4 70 25  0 |  1 57 41  0 
25 x  90 | 24  8 67  0 |  8 80 11  0 |  6 78 15  0 |  6 77 16  0 |  0 83 16  0 |  3 69 27  0 |  1 64 34  0 
25 x 100 | 14 12 73  0 |  8 61 30  0 |  2 87 10  0 |  4 88  7  0 |  0 89 10  0 |  0 68 31  0 |  1 64 34  0 
