         |     0,1     |     0,4     |     0,7     |     1,0     |     1,3     |     1,6     |     1,9     
20 x  10 | 62 35  0  2 | 18 77  0  4 | 10 85  4  0 |  8 90  1  0 |  3 91  5  0 |  5 93  1  0 |  4 93  2  0 
20 x  20 | 36 61  0  2 | 16 82  1  0 |  6 93  0  0 |  2 97  0  0 |  1 98  0  0 |  1 97  1  0 |  3 90  6  0 
20 x  30 | 27 72  0  0 |  3 96  0  0 |  5 94  0  0 |  5 94  0  0 |  1 97  1  0 |  3 95  1  0 |  0 92  7  0 
20 x  40 | 14 85  0  0 |  3 96  0  0 |  1 98  0  0 |  4 95  0  0 |  1 98  0  0 |  0 97  2  0 |  0 99  0  0 
20 x  50 | 15 84  0  0 |  2 97  0  0 |  3 96  0  0 |  0 99  0  0 |  1 98  0  0 |  0 96  3  0 |  0 92  7  0 
20 x  60 |  6 91  2  0 |  1 98  0  0 |  1 97  1  0 |  0 99  0  0 |  0 99  0  0 |  1 97  1  0 |  2 92  5  0 
20 x  70 |  6 92  1  0 |  3 96  0  0 |  0 99  0  0 |  2 97  0  0 |  1 98  0  0 |  0 98  1  0 |  0 97  2  0 
20 x  80 |  7 92  0  0 |  3 96  0  0 |  2 97  0  0 |  1 98  0  0 |  0 99  0  0 |  1 96  2  0 |  0 97  2  0 
20 x  90 |  8 91  0  0 |  1 98  0  0 |  1 98  0  0 |  0 99  0  0 |  1 98  0  0 |  0 98  1  0 |  1 97  1  0 
20 x 100 |  6 93  0  0 |  2 96  1  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 |  0 99  0  0 |  0 93  6  0 
25 x  10 | 59 40  0  0 | 16 80  2  1 |  6 92  0  1 |  6 93  0  0 |  2 97  0  0 |  4 92  3  0 |  4 93  2  0 
25 x  20 | 34 63  1  1 |  9 89  0  1 |  3 96  0  0 |  4 93  2  0 |  1 96  2  0 |  3 94  2  0 |  0 89 10  0 
25 x  30 | 23 76  0  0 |  8 91  0  0 |  4 95  0  0 |  2 97  0  0 |  3 96  0  0 |  3 89  7  0 |  0 92  7  0 
25 x  40 | 23 75  1  0 |  5 93  1  0 |  3 96  0  0 |  2 97  0  0 |  2 96  1  0 |  0 96  3  0 |  0 89 10  0 
25 x  50 | 18 79  2  0 |  2 97  0  0 |  1 98  0  0 |  0 99  0  0 |  1 98  0  0 |  0 99  0  0 |  0 90  9  0 
25 x  60 | 14 83  2  0 |  3 96  0  0 |  2 97  0  0 |  0 99  0  0 |  3 96  0  0 |  1 97  1  0 |  2 90  7  0 
25 x  70 |  7 91  1  0 |  3 96  0  0 |  1 98  0  0 |  1 98  0  0 |  0 99  0  0 |  2 96  1  0 |  0 92  7  0 
25 x  80 | 12 86  1  0 |  2 97  0  0 |  2 97  0  0 |  1 98  0  0 |  3 96  0  0 |  0 95  4  0 |  1 87 11  0 
25 x  90 |  5 94  0  0 |  3 96  0  0 |  2 96  1  0 |  2 97  0  0 |  0 99  0  0 |  1 97  1  0 |  0 88 11  0 
25 x 100 |  6 93  0  0 |  2 97  0  0 |  0 98  1  0 |  1 98  0  0 |  1 98  0  0 |  1 98  0  0 |  0 93  6  0 
